city,city_label,city_order,ntl_raw,fit,se,lo,hi
HongKong,Hong Kong,1,0.0102499575177344,2.1280221689071466,0.2639986257339534,1.610584862468598,2.645459475345695
HongKong,Hong Kong,1,0.0103305476685797,2.133495837498302,0.2639949677195495,1.6160657007679855,2.6509259742286195
HongKong,Hong Kong,1,0.010411137819425,2.138895474197416,0.2639910289199924,1.621473057514231,2.6563178908806013
HongKong,Hong Kong,1,0.0104917279702703,2.144212848335592,0.2639872814635759,1.6267977766669832,2.661627920004201
HongKong,Hong Kong,1,0.0105723181211156,2.1494397292439342,0.2639841876604464,1.6320307214294592,2.6668487370584093
HongKong,Hong Kong,1,0.0106529082719609,2.1545678862535467,0.2639821936027273,1.6371627867922012,2.671972985714892
HongKong,Hong Kong,1,0.0107334984228062,2.1595890886955345,0.2639817232596001,1.6421849111067184,2.6769932662843505
HongKong,Hong Kong,1,0.0108140885736515,2.164495105901002,0.2639831730689048,1.6470880866859483,2.681902125116056
HongKong,Hong Kong,1,0.0108946787244968,2.169277707201053,0.2639869070272192,1.6518633694277032,2.6866920449744027
HongKong,Hong Kong,1,0.0109752688753421,2.173928661926792,0.2639932522806482,1.6565018874567217,2.6913554363968624
HongKong,Hong Kong,1,0.0110558590261874,2.178439739409324,0.2640024952186843,1.6609948487807022,2.695884630037945
HongKong,Hong Kong,1,0.0111364491770327,2.182802708979752,0.264014878073511,1.6653335479556703,2.7002718700038333
HongKong,Hong Kong,1,0.0112170393278779,2.187009339969181,0.2640305960269958,1.6695093717562697,2.704509308182093
HongKong,Hong Kong,1,0.0112976294787232,2.1910514017087164,0.2640497948273881,1.6735138038470356,2.708588999570397
HongKong,Hong Kong,1,0.0113782196295685,2.1949206635294614,0.264072568917398,1.6773384284513613,2.712502898607561
HongKong,Hong Kong,1,0.0114588097804138,2.19860889476252,0.2640989600749098,1.680974933015697,2.716242856509344
HongKong,Hong Kong,1,0.0115393999312591,2.202107864738998,0.2641289565670911,1.6844151098674995,2.7198006196104965
HongKong,Hong Kong,1,0.0116199900821044,2.205409342789998,0.2641624928181166,1.6876508568664896,2.723167828713507
HongKong,Hong Kong,1,0.0117005802329497,2.2085050982466257,0.2641994495901598,1.6906741770499123,2.726336019443339
HongKong,Hong Kong,1,0.011781170383795,2.211386900439985,0.2642396546767269,1.6934771772736,2.72929662360637
HongKong,Hong Kong,1,0.0118617605346403,2.21404651870118,0.2642828841068528,1.6960520658517484,2.7320409715506115
HongKong,Hong Kong,1,0.0119423506854856,2.216475722361316,0.2643288638581578,1.6983911491993262,2.734560295523305
HongKong,Hong Kong,1,0.0120229408363309,2.218666280751496,0.2643772720763004,1.700486827481947,2.7368457340210446
HongKong,Hong Kong,1,0.0121035309871762,2.2206099632028247,0.264427741797984,1.702331589278776,2.7388883371268733
