landuse,bin_left,bin_right,bin_mid,count,density,n
residential,0.0012489182434555,0.0014958179365806,0.001372368090018,9347,0.0550643015782311,169747
residential,0.0014958179365806,0.0017427176297057,0.0016192677831431,8533,0.05026892964235,169747
residential,0.0017427176297057,0.0019896173228308,0.0018661674762682,7953,0.0468520798600269,169747
residential,0.0019896173228308,0.0022365170159559,0.0021130671693933,7558,0.0445250873358586,169747
residential,0.0022365170159559,0.002483416709081,0.0023599668625184,5953,0.0350698392313266,169747
residential,0.002483416709081,0.0027303164022061,0.0026068665556436,5323,0.031358433433286,169747
residential,0.0027303164022061,0.0029772160953312,0.0028537662487687,4365,0.0257147401721385,169747
residential,0.0029772160953312,0.0032241157884563,0.0031006659418938,3941,0.023216905158854,169747
residential,0.0032241157884563,0.0034710154815814,0.0033475656350189,3338,0.0196645596093009,169747
residential,0.0034710154815814,0.0037179151747065,0.003594465328144,2609,0.0153699329001396,169747
residential,0.0037179151747065,0.0039648148678316,0.0038413650212691,2551,0.0150282479219073,169747
residential,0.0039648148678316,0.0042117145609567,0.0040882647143942,1712,0.0100855979781675,169747
residential,0.0042117145609567,0.0044586142540818,0.0043351644075193,1894,0.0111577818753792,169747
residential,0.0044586142540818,0.0047055139472069,0.0045820641006444,1335,0.0078646456196574,169747
residential,0.0047055139472069,0.004952413640332,0.0048289637937695,1367,0.0080531614697166,169747
residential,0.004952413640332,0.0051993133334572,0.0050758634868946,1445,0.008512668854236,169747
residential,0.0051993133334572,0.0054462130265823,0.0053227631800197,914,0.005384483967316,169747
residential,0.0054462130265823,0.0056931127197074,0.0055696628731448,771,0.0045420537623639,169747
residential,0.0056931127197074,0.0059400124128325,0.0058165625662699,927,0.0054610685314026,169747
residential,0.0059400124128325,0.0061869121059576,0.006063462259395,577,0.00339917642138,169747
residential,0.0061869121059576,0.0064338117990827,0.0063103619525201,561,0.0033049184963504,169747
residential,0.0064338117990827,0.0066807114922078,0.0065572616456452,321,0.0018910496209064,169747
residential,0.0066807114922078,0.0069276111853329,0.0068041613387703,504,0.0029691246384324,169747
residential,0.0069276111853329,0.007174510878458,0.0070510610318954,525,0.0030928381650338,169747
residential,0.007174510878458,0.0074214105715831,0.0072979607250205,469,0.0027629354274302,169747
residential,0.0074214105715831,0.0076683102647082,0.0075448604181456,283,0.0016671870489611,169747
residential,0.0076683102647082,0.0079152099578333,0.0077917601112708,240,0.001413868875444,169747
residential,0.0079152099578333,0.0081621096509584,0.0080386598043959,448,0.0026392219008288,169747
residential,0.0081621096509584,0.0084090093440835,0.008285559497521,290,0.0017084248911615,169747
residential,0.0084090093440835,0.0086559090372086,0.0085324591906461,226,0.0013313931910431,169747
residential,0.0086559090372086,0.0089028087303337,0.0087793588837712,203,0.001195897423813,169747
residential,0.0089028087303337,0.0091497084234588,0.0090262585768963,201,0.0011841151831843,169747
residential,0.0091497084234588,0.0093966081165839,0.0092731582700214,235,0.0013844132738722,169747
residential,0.0093966081165839,0.009643507809709,0.0095200579631465,218,0.0012842642285283,169747
residential,0.009643507809709,0.0098904075028341,0.0097669576562716,212,0.0012489175066422,169747
residential,0.0098904075028341,0.0101373071959592,0.0100138573493967,226,0.0013313931910431,169747
residential,0.0101373071959592,0.0103842068890844,0.0102607570425218,133,0.0007835190018085,169747
