grid_id,lon,lat,grid_area_m2,Pop_Total,Pop_Tota_20_50,Pop_Female_20_50,Pop_Male_20_50,NDVI,walkability_global_z,walkability_city_z,gdp_2022,built_density_2020,ssx_choice_r5000,ssx_has_segment,gdp_source_distance_m,Female_Employment_Rate_15plus_WorldBank,Labour_force_participation_rate_F_Fig4,SDG11_71pct,SDG_3_1_Maternal_mortality_ratio,SDG_3_7_Adolescent_birth_rate,SDG_5_5_Share_of_seats_in_parliament,SDG_4_4_Population_with_at_least_some_secondary_education_F,city,NDVI_z,gdp_2022_z,built_density_2020_z,ssx_choice_r5000_z,Pop_Female_20_50_z,Pop_Male_20_50_z,Pop_Total_z,Female_Employment_Rate_15plus_WorldBank_z,Labour_force_participation_rate_F_Fig4_z,SDG11_71pct_z,SDG_3_1_Maternal_mortality_ratio_z,SDG_3_7_Adolescent_birth_rate_z,SDG_5_5_Share_of_seats_in_parliament_z,SDG_4_4_Population_with_at_least_some_secondary_education_F_z,land_use_type
1776,174.438196,-36.82805014,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,-0.462190625,-0.280883001,187463950,0.007085599,377789.8172,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.633116511,-0.619768318,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1777,174.4382561,-36.82624901,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,-0.462190625,-0.280883001,187463950,0.010493603,778728.1379,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.606533393,-0.535745942,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1778,174.4383162,-36.82444788,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,0.311445525,0.39104975,187463950,0.012428452,426511.3983,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.591441178,-0.609558012,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1779,174.4383762,-36.82264674,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,0.311445525,0.39104975,187463950,0.012593934,221360.7117,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.590150387,-0.652550281,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1781,174.4384964,-36.81904448,40000,12.14517334,6.796246948,3.378128052,3.418118896,0.8595,0.281018035,0.332326251,187463950,0.007115096,858482.4033,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.030482685,-0.662359574,-1.63288643,-0.519032292,-0.631588793,-0.651561839,-0.643326285,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
2038,174.4400161,-36.84070635,40000,1.473630676,0.773514099,0.377790833,0.395722847,0.8644,-0.53734139,-0.473459338,164387580,0.001737383,817088.9906,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.059396751,-0.66294592,-1.674833673,-0.527706875,-0.659386607,-0.680033125,-0.674028942,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
2039,174.4400762,-36.83890522,40000,8.403457032,4.526333924,2.223515472,2.302818146,0.8486,-0.523379146,-0.400082865,164387580,0.001345965,392871.7348,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.66294592,-1.677886814,-0.616607686,-0.642286159,-0.662068089,-0.654091423,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
2046,174.4404965,-36.82629729,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,0.112230937,0.217852262,187463950,0.008755967,203488.9612,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.620087303,-0.656295562,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
2047,174.4405566,-36.82449615,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,0.334667729,0.411906949,187463950,0.009982238,900892.0172,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.610522144,-0.510144749,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
2048,174.4406166,-36.82269502,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,0.334667729,0.411906949,187463950,0.009438903,403677.5681,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.614760269,-0.614343168,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,commercial
